time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-25T04:35:57.970Z,-31.6922,-72.1202,15.16,4.5,mb,,191,1.097,0.65,us,us10004gyp,2016-04-08T23:06:13.040Z,"90km W of Illapel, Chile",earthquake,7.5,6.7,0.242,5,reviewed,us,us
2016-01-25T07:16:57.970Z,-21.3944,-68.7166,111.33,4.5,mb,,44,0.631,1.23,us,us10004h04,2016-04-08T23:06:14.040Z,"120km N of Calama, Chile",earthquake,5.2,4.1,0.121,20,reviewed,us,us
2016-01-25T23:02:09.080Z,-53.9314,-55.4044,10,4.9,mb,,102,2.777,0.89,us,us20004vk9,2016-11-10T22:09:56.734Z,"298km SSE of Stanley, Falkland Islands",earthquake,8,1.9,0.119,22,reviewed,us,us
2016-01-26T00:19:10.020Z,-32.5866,-71.8378,7.75,4.8,mwr,,115,0.466,0.73,us,us20004ujc,2016-11-10T22:09:57.852Z,"53km NNW of Valparaiso, Chile",earthquake,4.9,3.1,0.047,44,reviewed,us,us
2016-01-26T01:35:14.310Z,-30.7429,-71.4603,38.41,4.5,mb,,109,0.165,0.46,us,us20004ukd,2016-04-08T23:06:15.040Z,"29km WSW of Ovalle, Chile",earthquake,4.7,6.8,0.18,9,reviewed,us,us
2016-01-26T01:58:39.760Z,-23.4444,-66.8613,206.29,4.1,mb,,91,2.061,0.59,us,us20004ukf,2016-04-08T23:06:15.040Z,"101km NNW of San Antonio de los Cobres, Argentina",earthquake,8.1,10.6,0.198,7,reviewed,us,us
2016-01-26T02:05:14.730Z,-21.5079,-68.5226,131.04,4,mb,,68,0.728,0.55,us,us20004vki,2016-04-08T23:06:15.040Z,"114km NNE of Calama, Chile",earthquake,6.5,6.9,0.366,2,reviewed,us,us
2016-01-26T09:08:55.020Z,-30.1613,-71.898,14.81,4.5,mwr,,116,0.559,1.31,us,us20004uml,2016-04-08T23:06:16.040Z,"58km WSW of Coquimbo, Chile",earthquake,4.8,3.7,0.05,39,reviewed,us,us
2016-01-27T13:16:35.900Z,-30.6312,-71.6147,28.05,4.5,mwr,,84,0.045,0.63,us,us20004v1z,2016-04-08T23:06:17.040Z,"39km W of Ovalle, Chile",earthquake,6.3,3.9,0.044,50,reviewed,us,us
2016-01-27T15:09:03.660Z,-32.6601,-71.7625,24.04,4.2,mb,,180,0.376,0.93,us,us20004v7k,2016-04-08T23:06:17.040Z,"43km NNW of Valparaiso, Chile",earthquake,2.8,8.3,0.305,3,reviewed,us,us
2016-01-28T23:19:15.160Z,-31.7319,-68.7748,117.86,4.4,mb,,93,1.822,1.32,us,us20004vda,2016-04-08T23:06:19.040Z,"18km WSW of Pocito, Argentina",earthquake,5.6,7.9,0.179,9,reviewed,us,us
2016-01-29T04:30:46.290Z,-58.9775,-25.8249,97.67,5.1,mb,,53,7.526,0.71,us,us20004vf6,2016-04-14T22:51:33.040Z,"40km E of Bristol Island, South Sandwich Islands",earthquake,10.6,4.7,0.07,65,reviewed,us,us
2016-01-29T20:07:15.100Z,-30.3325,-71.6327,35.78,5.2,mwr,,113,0.34,1.1,us,us20004vly,2016-11-10T22:10:27.859Z,"50km SSW of Coquimbo, Chile",earthquake,4.7,4.1,,,reviewed,us,guc
2016-01-30T04:45:09.380Z,-56.8946,-26.9868,146.19,4.2,mb,,112,5.988,0.94,us,us20004wwi,2016-04-14T22:51:35.040Z,"25km SSE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,16.3,9.1,0.187,8,reviewed,us,us
2016-01-30T08:33:45.100Z,-20.3468,-69.2007,100.05,4.4,mb,,93,0.209,0.99,us,us20004w0m,2016-04-14T22:51:35.040Z,"99km E of Iquique, Chile",earthquake,6.4,6.6,0.189,8,reviewed,us,us
2016-01-30T09:27:15.940Z,-30.1801,-71.6291,23.34,4.3,mb,,147,0.427,0.84,us,us20004w0u,2016-04-14T22:51:35.040Z,"37km SW of Coquimbo, Chile",earthquake,2.7,5.8,0.218,10,reviewed,us,us
2016-01-30T10:02:44.530Z,-29.4442,-71.9467,10,4.1,ml,,150,0.776,0.75,us,us20004wwh,2016-04-14T22:51:35.040Z,"81km NW of Coquimbo, Chile",earthquake,4,1.4,,,reviewed,us,guc
2016-01-30T11:11:44.700Z,-59.0091,-25.7367,103.11,4.5,mb,,75,7.582,0.42,us,us20004ww0,2016-04-14T22:51:35.040Z,"44km E of Bristol Island, South Sandwich Islands",earthquake,11.6,7.5,0.172,10,reviewed,us,us
2016-01-30T13:28:18.760Z,-33.2002,-72.4136,12.55,4.5,mwr,,151,0.675,1.47,us,us20004w1c,2016-04-14T22:51:35.040Z,"75km WSW of Valparaiso, Chile",earthquake,5.1,4.8,0.038,68,reviewed,us,us
2016-01-30T19:53:15.650Z,-21.924,-67.2072,173.01,4.4,mb,,63,1.72,0.84,us,us20004w2b,2016-04-14T22:51:36.040Z,"149km SW of Atocha, Bolivia",earthquake,8.2,7.1,0.13,17,reviewed,us,us
2016-01-31T07:42:50.300Z,-21.9254,-68.0999,115.71,4.6,mwr,,75,1.016,0.79,us,us20004w4e,2016-04-14T22:51:37.040Z,"104km NE of Calama, Chile",earthquake,6.6,6.1,0.052,36,reviewed,us,us
2016-01-31T14:33:10.920Z,-59.7194,-26.2219,10,4.8,mb,,60,9.264,0.75,us,us20004x1z,2016-04-14T22:51:37.040Z,"78km SSE of Bristol Island, South Sandwich Islands",earthquake,11.3,1.8,0.071,61,reviewed,us,us
2016-02-01T03:19:44.540Z,-30.6643,-71.2964,44.71,3.7,ml,,96,0.291,0.52,us,us20004wqx,2016-04-14T22:51:38.040Z,"11km SW of Ovalle, Chile",earthquake,3.8,17.7,,,reviewed,us,guc
2016-02-01T21:27:28.010Z,-20.1767,-70.5873,21.99,4.2,mwr,,161,0.438,1.06,us,us20004wds,2016-04-14T22:51:39.040Z,"46km W of Iquique, Chile",earthquake,4.4,2.8,0.043,51,reviewed,us,us
2016-02-01T21:45:57.690Z,-22.5579,-66.0461,245.7,4.5,mb,,29,2.648,1.05,us,us20004we3,2016-04-14T22:51:39.040Z,"40km WNW of Abra Pampa, Argentina",earthquake,8.3,6.4,0.151,13,reviewed,us,us
2016-02-02T03:01:40.550Z,-24.3628,-67.3815,179.59,4.4,mb,,44,2.232,0.77,us,us20004wfw,2016-04-14T22:51:40.040Z,"109km W of San Antonio de los Cobres, Argentina",earthquake,5,7.9,0.218,6,reviewed,us,us
