time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1998-07-30T23:36:30.640Z,-58.808,-25.273,33,5.4,mwc,,,,0.88,us,usp0008sgh,2015-02-11T17:16:50.000Z,"South Sandwich Islands region",earthquake
1998-07-17T22:49:18.560Z,-56.038,-27.609,100,5.1,mb,,,,0.68,us,usp0008rrx,2014-11-07T01:05:36.750Z,"South Sandwich Islands region",earthquake
1998-07-15T15:39:26.130Z,-55.767,-29.328,33,4.6,mb,,,,1.04,us,usp0008rjs,2014-11-07T01:05:36.018Z,"South Sandwich Islands region",earthquake
1998-07-10T14:22:10.620Z,-57.906,-25.122,33,4.5,mb,,,,0.65,us,usp0008r9n,2014-11-07T01:05:34.585Z,"South Sandwich Islands region",earthquake
1998-06-27T22:47:34.000Z,-56.007,-27.587,100,4.4,mb,,,,0.75,us,usp0008qm2,2014-11-07T01:05:27.567Z,"South Sandwich Islands region",earthquake
1998-06-27T00:21:57.160Z,-56.155,-27.058,100,4.5,mb,,,,0.83,us,usp0008qje,2014-11-07T01:05:27.329Z,"South Sandwich Islands region",earthquake
1998-06-26T22:10:05.620Z,-59.374,-27.126,33,4.6,mb,,,,1.14,us,usp0008qj7,2014-11-07T01:05:27.311Z,"South Sandwich Islands region",earthquake
1998-06-20T21:56:08.500Z,-58.228,-24.444,33,4.7,mb,,,,1.12,us,usp0008q6s,2014-11-07T01:05:25.892Z,"South Sandwich Islands region",earthquake
1998-06-12T00:22:41.260Z,-60.104,-26.644,33,4.5,mb,,,,1.1,us,usp0008ps0,2014-11-07T01:05:24.191Z,"South Sandwich Islands region",earthquake
1998-06-05T08:50:36.810Z,-55.812,-27.509,100,5.1,mwc,,,,0.92,us,usp0008pc9,2015-02-11T17:16:48.000Z,"South Sandwich Islands region",earthquake
1998-05-28T11:31:58.410Z,-58.713,-25.041,33,5.4,mwc,,,,1.01,us,usp0008nv8,2015-02-11T17:16:48.000Z,"South Sandwich Islands region",earthquake
1998-05-21T00:13:32.170Z,-59.54,-23.324,33,5.2,mb,,,,1.06,us,usp0008nf3,2014-11-07T01:05:14.638Z,"South Sandwich Islands region",earthquake
1998-05-20T06:17:52.650Z,-56.154,-27.574,105.3,4.7,mb,,,,0.86,us,usp0008ndt,2014-11-07T01:05:14.440Z,"South Sandwich Islands region",earthquake
1998-05-14T13:23:02.500Z,-55.367,-28.291,33,5.4,mwc,,,,1.15,us,usp0008n1y,2015-02-11T17:16:48.000Z,"South Sandwich Islands region",earthquake
1998-05-10T02:41:26.690Z,-56.63,-27.102,200,4.3,mb,,,,0.63,us,usp0008mt0,2014-11-07T01:05:11.922Z,"South Sandwich Islands region",earthquake
1998-05-01T12:08:43.350Z,-55.949,-26.707,33,5.3,mwc,,,,0.97,us,usp0008m8m,2015-02-11T17:16:48.000Z,"South Sandwich Islands region",earthquake
1998-04-27T16:31:53.740Z,-55.948,-27.705,144.5,4.8,mb,,,,0.77,us,usp0008m1p,2014-11-07T01:05:04.884Z,"South Sandwich Islands region",earthquake
1998-04-24T11:19:37.460Z,-59.814,-26.578,33,4.7,mb,,,,0.87,us,usp0008kw0,2014-11-07T01:05:04.074Z,"South Sandwich Islands region",earthquake
1998-04-14T07:32:15.640Z,-55.837,-27.359,33,4.6,mb,,,,1.31,us,usp0008k74,2014-11-07T01:04:59.680Z,"South Sandwich Islands region",earthquake
1998-04-12T21:33:47.420Z,-56.116,-26.768,100,4.7,mb,,,,0.83,us,usp0008k0w,2014-11-07T01:04:59.048Z,"South Sandwich Islands region",earthquake
1998-04-07T15:18:44.690Z,-58.992,-25.971,100,4.5,mb,,,,0.7,us,usp0008jpz,2014-11-07T01:04:57.636Z,"South Sandwich Islands region",earthquake
1998-04-04T10:13:01.570Z,-56.999,-26.719,33,5.2,mwc,,,,1.06,us,usp0008jj6,2015-02-11T17:16:47.000Z,"South Sandwich Islands region",earthquake
1998-04-01T21:01:56.250Z,-58.952,-25.516,33,4.3,mb,,,,0.76,us,usp0008jdh,2014-11-07T01:04:55.037Z,"South Sandwich Islands region",earthquake
1998-03-27T00:30:51.010Z,-58.733,-25.38,33,5.7,mwc,,,,0.8,us,usp0008j3a,2015-05-13T18:53:39.000Z,"South Sandwich Islands region",earthquake
1998-03-25T13:04:59.210Z,-55.694,-25.047,33,5,mb,,,,0.84,us,usp0008j0j,2014-11-07T01:04:49.984Z,"South Sandwich Islands region",earthquake
1998-03-19T04:25:13.170Z,-60.036,-27.517,71.2,4.7,mb,,,,0.81,us,usp0008hp5,2014-11-07T01:04:46.714Z,"South Sandwich Islands region",earthquake
1998-03-18T16:03:05.900Z,-58.26,-26.697,200,4.1,mb,,,,0.27,us,usp0008hnj,2014-11-07T01:04:46.655Z,"South Sandwich Islands region",earthquake
1998-03-10T00:20:15.930Z,-58.651,-25.387,33,4.6,mb,,,,0.75,us,usp0008h89,2014-11-07T01:04:44.291Z,"South Sandwich Islands region",earthquake
1998-03-09T14:34:52.900Z,-59.905,-22.893,33,5,mwc,,,,1,us,usp0008h7k,2015-02-11T17:16:47.000Z,"South Sandwich Islands region",earthquake
